URL trim amp	Просмотры
https://life.ru/p/1356789	187999
https://life.ru/p/1365389	10115
https://life.ru/p/1368493	5975
https://life.ru/p/1370223	5824
https://life.ru/p/1368517	5751
https://life.ru/p/1365316	5314
https://life.ru/p/1369467	4757
https://life.ru/p/1368679	4746
https://life.ru/p/1365978	4618
https://life.ru/p/1369929	3152
https://life.ru/p/1355934	2957
https://life.ru/p/1366914	2688
https://life.ru/p/1366146	2360
https://life.ru/p/1369973	2285
https://life.ru/p/1369953	2209
https://life.ru/p/1369851	2171
https://life.ru/p/1365380	1951
https://life.ru/p/1367225	1858
https://life.ru/p/1367561	1801
https://life.ru/p/1369819	1751
https://life.ru/p/1369855	1568
https://life.ru/p/1349134	1560
https://life.ru/p/1369383	1498
https://life.ru/p/1370109	1440
https://life.ru/p/1366723	1431
https://life.ru/p/1366487	1368
https://life.ru/p/1368872	1350
https://life.ru/p/1368317	1335
https://life.ru/p/1370060	1254
https://life.ru/p/1356720	1234
https://life.ru/p/1368644	1225
https://life.ru/p/1368443	1220
https://life-ru.cdn.ampproject.org/c/s/life.ru/p/1367551	1216
https://life.ru/p/1369862	1211
https://life.ru/p/1368005	1209
https://life-ru.cdn.ampproject.org/c/s/life.ru/p/1366468	1208
https://life.ru/p/1365900	1201
https://life.ru/p/1368012	1122
https://life.ru/p/1368173	1116
https://life.ru/p/1367568	1073
https://life.ru/p/1366805	1052
https://life.ru/p/1363633	1038
https://life.ru/p/1366642	1011
https://life.ru/p/1367618	1000
https://life.ru/p/1366525	986
https://life.ru/p/1368303	984
https://life.ru/p/1366065	984
https://life.ru/p/1370033	977
https://life.ru/p/1366714	976
https://life.ru/p/1366392	948
https://life.ru/p/1368795	938
https://life.ru/p/1367578	928
https://life.ru/p/1367917	915
https://life-ru.cdn.ampproject.org/c/s/life.ru/p/1361212	908
https://life.ru/p/1367050	883
https://life.ru/p/1366468	877
https://life.ru/p/1366891	867
https://life.ru/p/1367400	839
https://life.ru/p/1367026	836
https://life.ru/p/1369320	828
https://life.ru/p/1366584	820
https://life.ru/p/1366035	744
https://life.ru/p/1368141	741
https://life.ru/p/1369540	736
https://life.ru/p/1366158	728
https://life.ru/p/1366016	727
https://life.ru/p/1368720	713
https://life.ru/p/1368165	713
https://life.ru/p/1368270	706
https://life.ru/p/1368221	695
https://life.ru/p/1365870	691
https://life.ru/p/1366402	673
https://life.ru/p/1368333	669
https://life.ru/p/1367754	669
https://life.ru/p/1369734	660
https://life.ru/p/1367038	656
https://life.ru/p/1370401	640
https://life.ru/p/1365806	630
https://life-ru.cdn.ampproject.org/c/s/life.ru/p/1368470	622
https://life.ru/p/1365968	621
https://life.ru/p/1368259	609
https://life.ru/p/1368057	608
https://life.ru/p/1367173	605
https://life.ru/p/1368154	595
https://life.ru/p/1365845	591
https://life.ru/p/1368150	589
https://life.ru/p/1366009	584
https://life.ru/p/1366431	568
https://life.ru/p/1365800	564
https://life.ru/p/1365155	558
https://life.ru/p/1369297	556
https://life.ru/p/1368830	553
https://life.ru/p/1368599	552
https://life.ru/p/1369603	546
https://life.ru/p/1366282	545
https://life.ru/p/1369838	542
https://life.ru/p/1366250	542
https://life.ru/p/1355746	542
https://life.ru/p/1367971	539
https://life-ru.cdn.ampproject.org/c/s/life.ru/p/1368644	536
https://life-ru.cdn.ampproject.org/c/s/life.ru/p/1365806	532
https://life-ru.cdn.ampproject.org/c/s/life.ru/p/1368719	528
https://life-ru.cdn.ampproject.org/c/s/life.ru/p/1366554	524
https://life-ru.cdn.ampproject.org/c/s/life.ru/p/1366593	517
https://life.ru/p/1370306	510
https://life.ru/p/1368630	510
https://life.ru/p/1366403	501
https://life.ru/p/1368470	498
https://life.ru/p/1367113	494
https://life.ru/p/1369997	488
https://life.ru/p/1370211	487
https://life.ru/p/1366357	485
